From;To;ID 6437 - PM2.5
"03:30 01/08";"04:30 01/08";""
"04:30 01/08";"05:30 01/08";""
"05:30 01/08";"06:30 01/08";""
"06:30 01/08";"07:30 01/08";""
"07:30 01/08";"08:30 01/08";""
"08:30 01/08";"09:30 01/08";""
"09:30 01/08";"10:30 01/08";""
"10:30 01/08";"11:30 01/08";""
"11:30 01/08";"12:30 01/08";""
"12:30 01/08";"13:30 01/08";""
"13:30 01/08";"14:30 01/08";""
"14:30 01/08";"15:30 01/08";""
"15:30 01/08";"16:30 01/08";""
"16:30 01/08";"17:30 01/08";""
"17:30 01/08";"18:30 01/08";""
"18:30 01/08";"19:30 01/08";""
"19:30 01/08";"20:30 01/08";""
"20:30 01/08";"21:30 01/08";""
"21:30 01/08";"22:30 01/08";""
"22:30 01/08";"23:30 01/08";""
"23:30 01/08";"00:30 02/08";""
"00:30 02/08";"01:30 02/08";""
"01:30 02/08";"02:30 02/08";""
"02:30 02/08";"03:30 02/08";""
"03:30 02/08";"04:30 02/08";""
"04:30 02/08";"05:30 02/08";""
"05:30 02/08";"06:30 02/08";""
"06:30 02/08";"07:30 02/08";""
"07:30 02/08";"08:30 02/08";""
"08:30 02/08";"09:30 02/08";""
"09:30 02/08";"10:30 02/08";""
"10:30 02/08";"11:30 02/08";""
"11:30 02/08";"12:30 02/08";""
"12:30 02/08";"13:30 02/08";""
"13:30 02/08";"14:30 02/08";""
"14:30 02/08";"15:30 02/08";"4"
"15:30 02/08";"16:30 02/08";"4"
"16:30 02/08";"17:30 02/08";"4"
"17:30 02/08";"18:30 02/08";"4"
"18:30 02/08";"19:30 02/08";"4"
"19:30 02/08";"20:30 02/08";"6"
"20:30 02/08";"21:30 02/08";"7"
"21:30 02/08";"22:30 02/08";"7"
"22:30 02/08";"23:30 02/08";"8"
"23:30 02/08";"00:30 03/08";"10"
"00:30 03/08";"01:30 03/08";"16"
"01:30 03/08";"02:30 03/08";"17"
"02:30 03/08";"03:30 03/08";"17"
"03:30 03/08";"04:30 03/08";"17"
"04:30 03/08";"05:30 03/08";"17"
"05:30 03/08";"06:30 03/08";"17"
"06:30 03/08";"07:30 03/08";"19"
"07:30 03/08";"08:30 03/08";"21"
"08:30 03/08";"09:30 03/08";"22"
"09:30 03/08";"10:30 03/08";"25"
"10:30 03/08";"11:30 03/08";"19"
